Simbol;Sinonims;Posicions;Notes
Triades;;;
C;;[1,3,5];[do,mi,sol]
Cm;C-;[1,b3,5];[do,mib,sol]
Cdim;Co;[1,b3,b5];[do,mib,solb]
Caug;C+;[1,3,#5];[do,mi,sol#]
Csus2;;[1,2,5];[do,re,sol]
Csus4;;[1,4,5];[do,fa, sol]
Cuatríedes diatoniques;;;
Cmaj7;CA;[1,3,5,7];[do,mi,sol, si]
Cm7;C-7;[1,b3,5,b7];[do,mib,sol,sib]
C7;;[1,3,5,b7];[do,mi,sol, sib]
Cm7b5;Co;[1,3,b5,b7];[do,mib,solb,sib]
Altres quatriades;;;
C6;;[1,3,5,6];[do,mi,sol,la]
C7sus2;;[1,2,5,b7];[do,re,sol,sib]
C7sus4;;[1 ,4,5,b7];[dofa,sol,sib]
Co?;;[1,b3,b5,6];[do,mib,sob,la]
Tensions;;;
Co6;;[1,3,5,b7,9];[do,mi,sol,sib,re]
C11;;[1,3,5,b7,9,11];[do,mi,sol,sib,re,fa]
Cb13;;[1,3,5,b7,9,11,b13];[do,mi,sol,sib,re,fa,lab]
;;;
;;;
;;;
Baix;;;
C/D;;"[2;1,3,5]";
